frame,stamp_sec,algo,label,roi_time_ms,pipeline_time_ms,cluster_time_ms,classify_time_ms,total_time_ms,after_view,after_car,after_ground,after_voxel,num_clusters,num_cones
89,1748368172.743118,lut,"LUT Bounding Box",120.654,120.776,4.578,2.769,183.341,70,70,70,45,5,3
90,1748368172.843293,lut,"LUT Bounding Box",125.016,125.158,13.183,2.376,293.226,108,108,108,92,4,3
91,1748368172.943510,lut,"LUT Bounding Box",125.846,125.985,5.614,2.567,189.394,71,71,71,46,4,3
92,1748368173.043707,lut,"LUT Bounding Box",127.245,127.374,4.680,2.241,193.455,75,75,75,47,4,3
93,1748368173.143903,lut,"LUT Bounding Box",125.970,126.100,4.420,2.190,288.875,52,52,52,39,4,3
94,1748368173.244101,lut,"LUT Bounding Box",130.349,130.475,5.510,2.976,197.274,69,69,69,47,4,3
95,1748368173.344305,lut,"LUT Bounding Box",128.522,128.657,8.924,2.715,199.286,103,103,103,71,5,3
96,1748368173.444496,lut,"LUT Bounding Box",130.967,131.091,4.032,1.959,195.317,65,65,65,38,3,3
97,1748368173.544692,lut,"LUT Bounding Box",133.758,133.914,38.285,2.348,347.737,200,200,200,183,4,3
98,1748368173.644889,lut,"LUT Bounding Box",134.476,134.602,5.486,2.871,200.402,75,75,75,50,4,3
99,1748368173.745085,lut,"LUT Bounding Box",134.702,134.858,38.879,2.716,238.756,223,223,223,190,5,3
100,1748368173.845284,lut,"LUT Bounding Box",133.238,133.370,6.746,2.911,299.368,80,80,80,51,5,3
101,1748368173.945479,lut,"LUT Bounding Box",136.948,137.084,6.008,3.152,205.044,79,79,79,51,5,4
102,1748368174.045650,lut,"LUT Bounding Box",136.938,137.061,4.747,2.363,201.501,62,62,62,41,4,3
103,1748368174.145873,lut,"LUT Bounding Box",137.808,137.968,41.562,3.608,247.305,212,212,212,193,7,4
104,1748368174.246066,lut,"LUT Bounding Box",135.732,135.858,4.608,2.905,301.064,65,65,65,42,4,4
105,1748368174.346265,lut,"LUT Bounding Box",137.939,138.068,6.095,3.998,206.109,81,81,81,50,6,4
106,1748368174.446463,lut,"LUT Bounding Box",139.143,139.263,5.425,2.751,206.544,72,72,72,46,5,4
107,1748368174.546658,lut,"LUT Bounding Box",141.021,141.147,7.161,2.863,208.554,74,74,74,55,5,4
108,1748368174.646856,lut,"LUT Bounding Box",141.594,141.718,6.314,3.365,303.610,72,72,72,50,6,4
109,1748368174.747052,lut,"LUT Bounding Box",142.961,143.086,4.159,2.224,211.007,57,57,57,39,4,2
110,1748368174.847252,lut,"LUT Bounding Box",143.287,143.439,3.438,2.206,207.064,54,54,54,37,4,3
111,1748368174.947449,lut,"LUT Bounding Box",146.699,146.824,4.008,3.028,313.237,58,58,58,40,5,3
112,1748368175.047643,lut,"LUT Bounding Box",146.387,146.514,5.036,2.857,211.334,63,63,63,47,4,2
113,1748368175.147840,lut,"LUT Bounding Box",144.303,144.439,3.763,2.254,207.814,59,59,59,41,4,2
114,1748368175.248036,lut,"LUT Bounding Box",147.079,147.209,4.641,3.712,213.761,61,61,61,43,5,4
115,1748368175.348204,lut,"LUT Bounding Box",148.437,148.585,7.463,2.673,314.706,74,74,74,59,5,3
116,1748368175.448434,lut,"LUT Bounding Box",146.569,146.700,4.926,2.901,213.654,65,65,65,47,5,3
117,1748368175.548631,lut,"LUT Bounding Box",151.411,151.569,30.089,3.193,249.120,166,166,166,142,6,3
118,1748368175.648802,lut,"LUT Bounding Box",150.519,150.650,5.576,3.412,218.003,62,62,62,50,6,5
119,1748368175.749020,lut,"LUT Bounding Box",152.605,152.723,3.581,2.760,313.047,48,48,48,37,5,4
120,1748368175.849217,lut,"LUT Bounding Box",153.639,153.759,3.929,2.428,216.576,52,52,52,39,4,3
121,1748368175.949416,lut,"LUT Bounding Box",152.829,152.950,3.685,2.357,218.045,49,49,49,36,4,3
122,1748368176.049582,lut,"LUT Bounding Box",153.482,153.612,3.377,2.180,321.987,47,47,47,36,4,3
123,1748368176.149810,lut,"LUT Bounding Box",156.761,156.887,3.960,2.971,222.170,56,56,56,41,5,4
124,1748368176.250003,lut,"LUT Bounding Box",156.041,156.167,4.444,2.908,225.120,57,57,57,43,5,4
125,1748368176.350202,lut,"LUT Bounding Box",169.525,169.769,6.200,3.948,241.761,68,68,68,52,6,4
126,1748368176.450377,lut,"LUT Bounding Box",161.015,161.149,5.803,2.497,330.093,75,75,75,57,5,3
127,1748368176.550595,lut,"LUT Bounding Box",166.917,167.061,7.868,2.753,237.785,86,86,86,62,5,3
128,1748368176.650784,lut,"LUT Bounding Box",164.488,164.626,6.910,2.589,231.900,76,76,76,55,5,3
129,1748368176.750987,lut,"LUT Bounding Box",166.241,166.373,6.046,3.858,234.633,72,72,72,57,6,4
130,1748368176.851183,lut,"LUT Bounding Box",164.980,165.108,4.770,2.695,329.622,58,58,58,45,5,3
131,1748368176.951353,lut,"LUT Bounding Box",167.784,167.914,4.547,2.036,232.152,65,65,65,43,3,2
132,1748368177.051577,lut,"LUT Bounding Box",161.814,161.936,2.215,1.254,221.267,38,38,38,27,2,1
133,1748368177.151758,lut,"LUT Bounding Box",163.015,163.143,4.796,2.229,229.654,62,62,62,44,3,3
134,1748368177.251969,lut,"LUT Bounding Box",162.333,162.460,4.929,1.736,327.362,62,62,62,39,3,2
135,1748368177.352167,lut,"LUT Bounding Box",162.655,162.776,3.000,2.324,225.867,40,40,40,32,5,2
136,1748368177.452363,lut,"LUT Bounding Box",163.788,163.962,2.115,1.855,225.310,36,36,36,24,3,2
137,1748368177.552543,lut,"LUT Bounding Box",164.620,164.743,3.351,1.489,329.967,51,51,51,33,2,2
138,1748368177.652759,lut,"LUT Bounding Box",167.719,167.844,3.510,2.294,230.924,56,56,56,34,4,3
139,1748368177.752955,lut,"LUT Bounding Box",168.100,168.233,5.233,1.670,232.752,75,75,75,44,3,2
140,1748368177.853161,lut,"LUT Bounding Box",170.634,170.764,3.675,2.264,235.011,49,49,49,40,5,2
141,1748368177.953353,lut,"LUT Bounding Box",169.786,169.908,4.081,1.757,344.908,61,61,61,44,4,1
142,1748368178.053545,lut,"LUT Bounding Box",167.879,168.008,4.974,1.878,234.123,61,61,61,46,3,1
143,1748368178.153741,lut,"LUT Bounding Box",165.621,165.760,8.676,2.896,236.386,93,93,93,69,6,3
144,1748368178.253943,lut,"LUT Bounding Box",176.655,176.802,16.612,3.502,258.875,134,134,134,101,6,3
145,1748368178.354134,lut,"LUT Bounding Box",176.782,176.927,17.744,2.840,363.774,136,136,136,102,6,3
146,1748368178.454334,lut,"LUT Bounding Box",177.523,177.692,23.736,3.227,265.689,154,154,154,119,6,3
147,1748368178.554529,lut,"LUT Bounding Box",175.843,176.013,35.417,3.059,276.744,198,198,198,160,7,3
148,1748368178.654726,lut,"LUT Bounding Box",176.666,176.833,41.536,3.423,386.714,195,195,195,160,7,3
149,1748368178.754923,lut,"LUT Bounding Box",176.491,176.676,66.781,3.139,310.277,247,247,247,216,6,3
150,1748368178.855098,lut,"LUT Bounding Box",176.270,176.443,94.908,2.703,338.133,255,255,255,228,5,3
151,1748368178.955297,lut,"LUT Bounding Box",178.860,179.054,147.588,2.647,505.321,342,342,342,315,5,3
152,1748368179.055516,lut,"LUT Bounding Box",173.457,173.672,235.218,3.716,483.368,481,481,481,456,6,2
153,1748368179.155684,lut,"LUT Bounding Box",175.071,175.293,286.780,3.801,540.713,529,529,529,496,8,4
154,1748368179.255905,lut,"LUT Bounding Box",176.869,177.104,291.976,3.691,547.796,544,544,544,507,7,4
155,1748368179.356099,lut,"LUT Bounding Box",179.820,180.098,387.288,5.082,755.129,650,650,650,617,11,5
156,1748368179.456312,lut,"LUT Bounding Box",180.858,181.157,431.025,4.379,697.230,691,691,691,665,9,4
157,1748368179.556496,lut,"LUT Bounding Box",179.212,179.501,554.616,3.568,820.025,829,829,829,800,7,3
158,1748368179.656692,lut,"LUT Bounding Box",178.742,179.032,601.893,4.005,972.516,865,865,865,832,8,4
159,1748368179.756890,lut,"LUT Bounding Box",183.793,184.181,1019.199,5.640,1313.302,1324,1324,1324,1295,12,4
160,1748368179.857086,lut,"LUT Bounding Box",185.736,186.157,1063.813,6.275,1360.080,1396,1396,1396,1362,13,7
161,1748368179.957254,lut,"LUT Bounding Box",186.459,186.891,1177.072,5.993,1586.148,1482,1482,1482,1422,11,7
162,1748368180.057479,lut,"LUT Bounding Box",189.790,190.235,1302.560,5.827,1610.080,1620,1620,1620,1549,10,5
163,1748368180.157676,lut,"LUT Bounding Box",200.629,201.108,1293.550,12.733,1619.024,1573,1573,1573,1496,10,6
164,1748368180.257873,lut,"LUT Bounding Box",196.183,196.640,1339.755,5.060,1796.556,1625,1625,1625,1551,10,4
165,1748368180.358072,lut,"LUT Bounding Box",191.235,191.686,1358.517,5.405,1666.885,1674,1674,1674,1585,11,5
166,1748368180.458255,lut,"LUT Bounding Box",189.904,190.361,1403.532,6.138,1815.815,1714,1714,1714,1608,12,6
167,1748368180.558463,lut,"LUT Bounding Box",191.648,192.130,1445.098,5.393,1759.186,1724,1724,1724,1620,11,5
168,1748368180.658656,lut,"LUT Bounding Box",202.885,203.376,1539.045,6.016,1869.423,1778,1778,1778,1684,12,5
