frame,stamp_sec,algo,label,roi_time_ms,pipeline_time_ms,cluster_time_ms,classify_time_ms,total_time_ms,after_view,after_car,after_ground,after_voxel,num_clusters
132,1748368177.051577,pizza,"Pizza Slice",0.685,1.033,519.095,2.367,699.781,845,845,845,829,4
133,1748368177.151758,pizza,"Pizza Slice",0.715,1.108,544.644,2.402,643.412,861,861,861,852,4
134,1748368177.251969,pizza,"Pizza Slice",0.680,1.020,502.878,2.729,585.067,828,828,828,806,5
135,1748368177.352167,pizza,"Pizza Slice",0.692,1.057,567.328,4.172,750.815,958,958,958,934,8
136,1748368177.452363,pizza,"Pizza Slice",0.721,1.109,649.783,2.809,743.202,992,992,992,972,5
137,1748368177.552543,pizza,"Pizza Slice",0.689,1.032,580.294,2.354,665.628,903,903,903,891,5
138,1748368177.652759,pizza,"Pizza Slice",0.734,1.143,710.754,2.838,899.724,1148,1148,1148,1139,5
139,1748368177.752955,pizza,"Pizza Slice",0.721,1.133,677.915,2.081,767.986,988,988,988,976,3
140,1748368177.853161,pizza,"Pizza Slice",0.760,1.219,661.661,3.153,755.259,980,980,980,967,5
141,1748368177.953353,pizza,"Pizza Slice",0.752,1.191,827.483,3.867,924.863,1146,1146,1146,1133,7
142,1748368178.053545,pizza,"Pizza Slice",0.745,1.150,806.240,3.917,995.857,1131,1131,1131,1118,8
143,1748368178.153741,pizza,"Pizza Slice",0.729,1.165,820.084,3.088,915.396,1132,1132,1132,1119,6
144,1748368178.253943,pizza,"Pizza Slice",0.741,1.186,909.420,3.220,1007.418,1225,1225,1225,1210,6
145,1748368178.354134,pizza,"Pizza Slice",0.740,1.197,1000.367,3.304,1197.082,1341,1341,1341,1328,6
146,1748368178.454334,pizza,"Pizza Slice",0.746,1.207,954.808,3.212,1052.168,1282,1282,1282,1267,6
147,1748368178.554529,pizza,"Pizza Slice",0.781,1.291,1034.680,4.101,1139.227,1420,1420,1420,1403,8
148,1748368178.654726,pizza,"Pizza Slice",0.755,1.251,1104.740,3.536,1305.607,1424,1424,1424,1406,6
149,1748368178.754923,pizza,"Pizza Slice",0.800,1.325,1074.920,4.671,1191.775,1542,1542,1542,1540,9
150,1748368178.855098,pizza,"Pizza Slice",0.881,1.447,1387.980,6.968,1512.354,1638,1638,1638,1637,7
151,1748368178.955297,pizza,"Pizza Slice",0.799,1.395,1265.945,4.234,1486.574,1629,1629,1629,1623,8
152,1748368179.055516,pizza,"Pizza Slice",0.848,1.453,1461.319,4.285,1587.395,1761,1761,1761,1758,8
153,1748368179.155684,pizza,"Pizza Slice",0.838,1.437,1447.569,4.481,1572.531,1780,1780,1780,1776,8
154,1748368179.255905,pizza,"Pizza Slice",0.789,1.347,1438.963,4.442,1659.079,1718,1718,1718,1714,9
155,1748368179.356099,pizza,"Pizza Slice",0.820,1.418,1421.287,6.772,1553.006,1934,1934,1934,1929,15
156,1748368179.456312,pizza,"Pizza Slice",0.816,1.407,1339.459,7.062,1462.427,1752,1752,1752,1751,16
157,1748368179.556496,pizza,"Pizza Slice",0.827,1.423,1562.422,3.174,1789.287,1831,1831,1831,1828,6
158,1748368179.656692,pizza,"Pizza Slice",0.819,1.429,1666.629,4.266,1795.645,1930,1930,1930,1927,8
159,1748368179.756890,pizza,"Pizza Slice",0.851,1.500,1611.398,5.117,1740.198,1888,1888,1888,1883,10
160,1748368179.857086,pizza,"Pizza Slice",0.861,1.531,1651.198,3.737,1780.171,1909,1909,1909,1906,8
161,1748368179.957254,pizza,"Pizza Slice",0.898,1.625,1683.591,5.287,1911.390,1927,1927,1927,1922,10
162,1748368180.057479,pizza,"Pizza Slice",0.876,1.523,1713.910,5.207,1841.570,1992,1992,1992,1990,11
163,1748368180.157676,pizza,"Pizza Slice",0.897,1.644,1873.848,4.345,2117.920,2174,2174,2174,2165,10
164,1748368180.257873,pizza,"Pizza Slice",0.895,1.589,1906.255,6.050,2045.702,2280,2280,2280,2273,13
165,1748368180.358072,pizza,"Pizza Slice",0.946,1.696,1953.023,5.887,2102.221,2356,2356,2356,2346,13
166,1748368180.458255,pizza,"Pizza Slice",0.910,1.668,2055.437,5.803,2300.996,2314,2314,2314,2309,12
167,1748368180.558463,pizza,"Pizza Slice",0.876,1.594,2077.109,5.390,2214.450,2253,2253,2253,2243,12
168,1748368180.658656,pizza,"Pizza Slice",0.937,1.780,2389.301,3.891,2534.968,2491,2491,2491,2479,9
169,1748368180.758857,pizza,"Pizza Slice",0.914,1.654,2276.991,7.745,2530.204,2379,2379,2379,2369,18
170,1748368180.859052,pizza,"Pizza Slice",0.900,1.654,2265.298,4.810,2407.309,2352,2352,2352,2343,11
